date,country,iso3c,region,subregion,population,hospital_beds_per_thousand,population_density,median_age,aged_65_older,aged_70_older,life_expectancy,daily_covid_deaths,daily_covid_deaths_per_100k,daily_covid_cases,daily_covid_cases_per_100k,daily_tests,daily_tests_per_100k,daily_positive_rate,daily_vaccinations,daily_vaccinations_per_100k,vaccinated_pct,fully_vaccinated_pct,EU,continent,group,daily_vaccinations_per_100k_region_average,vaccinated_pct_region_average,fully_vaccinated_pct_region_average,daily_vaccinations_region_average,total_doses,total_doses_lagged_1_day,prediction,rate
2020-12-01,Romania,ROU,Europe,Eastern Europe,19237682,6.892,85.129,43,17.85,11.69,76.05,165.286,0.859178356311327,7004.143,36.408456070746986,26110,135.72321239118102,26.8,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0,0,NA,NA,0
2020-12-01,Slovakia,SVK,Europe,Eastern Europe,5459643,5.82,113.128,41.2,15.07,9.167,77.54,22.714,0.4160345282649433,1384.286,25.35488126238291,27956,512.0481320848268,8.3,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0,0,NA,NA,0
2020-12-01,Slovenia,SVN,Europe,Southern Europe,2078932,4.5,102.619,44.5,19.062,12.93,81.32,47.714,2.2951207639307105,1436.429,69.09456393956128,5641,271.3412463707327,25.900000000000002,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0,0,NA,NA,0
2020-12-01,Spain,ESP,Europe,Southern Europe,46754783,2.97,93.105,45.5,19.436,13.799,83.56,263.286,0.5631209966261633,8800,18.82160377046344,132506,283.4062987737533,6.6000000000000005,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0,0,NA,NA,0
2020-12-01,Sweden,SWE,Europe,Northern Europe,10099270,2.22,24.718,41,19.985,13.433,82.8,39.286,0.3889984127565656,5028.286,49.78860848358347,39765,393.7413298188879,12.6,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0,0,NA,NA,0
2020-12-01,United Kingdom,GBR,Europe,Northern Europe,67886004,2.54,272.898,40.8,18.517,12.527,81.32,459,0.6761334781172272,14945.571,22.015688241128466,308289,454.12748112261846,4.8,NA,NA,NA,NA,not EU,Europe,Britain,0,0,0,0,0,NA,NA,0
2020-12-01,United States,USA,Americas,Northern America,331002647,2.77,35.608,38.3,15.413,9.732,78.86,1643,0.4963706528908816,164073,49.568485777094104,1577390,476.54905913788656,10.6,NA,NA,NA,NA,not EU,North America,United States,0,0,0,0,0,NA,NA,0
2020-12-02,Austria,AUT,Europe,Western Europe,9006400,7.37,106.749,44.4,19.202,13.748,81.54,111.286,1.2356324391543791,4135.571,45.91813599218334,26982,299.58696038372716,NA,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0,0,0,NA,0
2020-12-02,Belgium,BEL,Europe,Western Europe,11589616,5.64,375.564,41.8,18.571,12.849,81.63,119.143,1.028015078325287,2469.286,21.306020837963917,29688,256.1603421545632,8.9,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0,0,0,NA,0
2020-12-02,Bulgaria,BGR,Europe,Eastern Europe,6948445,7.454,65.18,44.7,20.801,13.272,75.05,140,2.0148392913810214,2693.286,38.76098896947447,7124,102.52653651284568,37.8,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0,0,0,NA,0
2020-12-02,Canada,CAN,Americas,Northern America,37742157,2.5,4.037,41.4,16.984,10.797,82.43,86.143,0.22824079715422732,6076.429,16.099845591760957,115500,306.0238449010744,5.3,NA,NA,NA,NA,not EU,North America,Canada,0,0,0,0,0,0,NA,0
2020-12-02,Croatia,HRV,Europe,Southern Europe,4105268,5.54,73.726,44,19.724,13.053,78.49,59.286,1.4441444504962893,3323.429,80.95522630922025,9550,232.6279307465432,34.8,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0,0,0,NA,0
2020-12-02,Czechia,CZE,Europe,Eastern Europe,10708982,6.63,137.176,43.3,19.027,11.58,79.38,129.143,1.205931618897109,3975.286,37.121044745429586,34414,321.35640904056055,10.6,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0,0,0,NA,0
2020-12-02,Denmark,DNK,Europe,Northern Europe,5792203,2.5,136.52,42.3,19.677,12.325,80.9,7.143,0.12332095404805392,1333.429,23.02110267889437,73642,1271.398809744755,1.7999999999999998,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0,0,0,NA,0
2020-12-02,Estonia,EST,Europe,Northern Europe,1326539,4.69,31.033,42.7,19.452,13.491,78.74,3.571,0.2691967593866445,354,26.685985108617235,5212,392.9021310342176,6.800000000000001,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0,0,0,NA,0
2020-12-02,Finland,FIN,Europe,Northern Europe,5540718,3.28,18.136,42.8,21.228,13.264,81.91,2.857,0.05156371430561888,461.429,8.327963993114249,19003,342.969990531913,2.4,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0,0,0,NA,0
2020-12-02,France,FRA,Europe,Western Europe,67564251,5.98,122.578,42,19.718,13.079,82.66,456.714,0.6759699001177413,10708.714,15.849674704452804,167454,247.84408547650446,6.3,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0,0,0,NA,0
2020-12-02,Germany,DEU,Europe,Western Europe,83783945,8,237.016,46.6,21.453,15.957,81.33,349.857,0.41757045457814146,17439.143,20.814420949025497,198201,236.5620286798384,9.3,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0,0,0,NA,0
2020-12-02,Greece,GRC,Europe,Southern Europe,10423056,4.21,83.479,45.3,20.396,14.524,82.24,100.571,0.9648897597787061,1766.714,16.950057641444122,25574,245.3599021246744,6.9,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0,0,0,NA,0
