date,country,iso3c,region,subregion,population,hospital_beds_per_thousand,population_density,median_age,aged_65_older,aged_70_older,life_expectancy,daily_covid_deaths,daily_covid_deaths_per_100k,daily_covid_cases,daily_covid_cases_per_100k,daily_tests,daily_tests_per_100k,daily_positive_rate,daily_vaccinations,daily_vaccinations_per_100k,vaccinated_pct,fully_vaccinated_pct,EU,continent,group,daily_vaccinations_per_100k_region_average,vaccinated_pct_region_average,fully_vaccinated_pct_region_average,daily_vaccinations_region_average
2020-12-05,France,FRA,Europe,Western Europe,67564251,5.98,122.578,42,19.718,13.079,82.66,408.714,0.6049264129339641,10555.571,15.623011938665613,166878,246.9915636302991,6.3,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0
2020-12-05,Germany,DEU,Europe,Western Europe,83783945,8,237.016,46.6,21.453,15.957,81.33,379.714,0.45320616020169496,18735.143,22.361256682291575,199099,237.63383306909216,9.3,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0
2020-12-05,Italy,ITA,Europe,Southern Europe,60461828,3.18,205.859,47.9,23.021,16.24,83.51,735.857,1.2170604567232073,20779.857,34.36855564472844,189210,312.94124947727346,11,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0
2020-12-05,Spain,ESP,Europe,Southern Europe,46754783,2.97,93.105,45.5,19.436,13.799,83.56,226.286,0.48398470804580573,8062.714,17.24468275256459,123979,265.16859248389625,6.5,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0
2020-12-05,United Kingdom,GBR,Europe,Northern Europe,67886004,2.54,272.898,40.8,18.517,12.527,81.32,426.286,0.6279438689600879,14462.571,21.304201378534522,321991,474.31131754345125,4.5,NA,NA,NA,NA,not EU,Europe,Britain,0,0,0,0
2020-12-05,United States,USA,Americas,Northern America,331002647,2.77,35.608,38.3,15.413,9.732,78.86,2250.857,0.6800117825039629,194822.571,58.858312090779144,1786138,539.6144158327531,11.4,NA,NA,NA,NA,not EU,North America,United States,0,0,0,0
2020-12-06,Canada,CAN,Americas,Northern America,37742157,2.5,4.037,41.4,16.984,10.797,82.43,92.143,0.2441381397464909,6455.143,17.103269958842045,119380,316.3041264440715,5.4,NA,NA,NA,NA,not EU,North America,Canada,0,0,0,0
2020-12-06,France,FRA,Europe,Western Europe,67564251,5.98,122.578,42,19.718,13.079,82.66,405.286,0.5998527238909227,10725,15.873779167625198,167252,247.54511080127267,6.3,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0
2020-12-06,Germany,DEU,Europe,Western Europe,83783945,8,237.016,46.6,21.453,15.957,81.33,383.286,0.4574695068369006,19837,23.676373796913,199399,237.99189689623708,9.9,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0
2020-12-06,Italy,ITA,Europe,Southern Europe,60461828,3.18,205.859,47.9,23.021,16.24,83.51,739.143,1.2224952907477427,20528.571,33.95294465790879,187298,309.77892365411117,11,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0
2020-12-06,Spain,ESP,Europe,Southern Europe,46754783,2.97,93.105,45.5,19.436,13.799,83.56,226.286,0.48398470804580573,8062.714,17.24468275256459,120671,258.0933805210902,6.7,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0
2020-12-06,United Kingdom,GBR,Europe,Northern Europe,67886004,2.54,272.898,40.8,18.517,12.527,81.32,428.571,0.6313098057738087,15206.571,22.400156297312773,329247,484.99982411691224,4.6,NA,NA,NA,NA,not EU,Europe,Britain,0,0,0,0
2020-12-06,United States,USA,Americas,Northern America,331002647,2.77,35.608,38.3,15.413,9.732,78.86,2295.571,0.6935204358048532,200669,60.62459071513105,1806271,545.6968445330891,11.5,NA,NA,NA,NA,not EU,North America,United States,0,0,0,0
2020-12-07,Canada,CAN,Americas,Northern America,37742157,2.5,4.037,41.4,16.984,10.797,82.43,93.857,0.24867948061368086,6430.714,17.038543928477644,120664,319.706157758816,5.3,NA,NA,NA,NA,not EU,North America,Canada,0,0,0,0
2020-12-07,France,FRA,Europe,Western Europe,67564251,5.98,122.578,42,19.718,13.079,82.66,399.143,0.5907606376040488,10590.286,15.674392660698631,169826,251.35481780150278,6.4,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0
2020-12-07,Germany,DEU,Europe,Western Europe,83783945,8,237.016,46.6,21.453,15.957,81.33,391.429,0.4671885526517043,18584.857,22.181883414537236,201853,240.9208590022826,9.9,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0
2020-12-07,Italy,ITA,Europe,Southern Europe,60461828,3.18,205.859,47.9,23.021,16.24,83.51,718.571,1.1884705172989478,20143.286,33.31570788762788,184540,305.2173678903655,10.9,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0
2020-12-07,Spain,ESP,Europe,Southern Europe,46754783,2.97,93.105,45.5,19.436,13.799,83.56,225.286,0.48184588943552575,7734.429,16.54254068508884,117364,251.0203073768945,6.6000000000000005,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0
2020-12-07,United Kingdom,GBR,Europe,Northern Europe,67886004,2.54,272.898,40.8,18.517,12.527,81.32,426.571,0.6283636904007489,15541.714,22.893841269549466,327126,481.8754687637823,4.8,NA,NA,NA,NA,not EU,Europe,Britain,0,0,0,0
2020-12-07,United States,USA,Americas,Northern America,331002647,2.77,35.608,38.3,15.413,9.732,78.86,2332.857,0.7047849982903611,205538.714,62.09579163879013,1816939,548.9197794844221,11.700000000000001,NA,NA,NA,NA,not EU,North America,United States,0,0,0,0
2020-12-08,Canada,CAN,Americas,Northern America,37742157,2.5,4.037,41.4,16.984,10.797,82.43,96.571,0.25587037857958145,6527.286,17.294416956614324,121355,321.53700171402494,5.4,NA,NA,NA,NA,not EU,North America,Canada,0,0,0,0
2020-12-08,France,FRA,Europe,Western Europe,67564251,5.98,122.578,42,19.718,13.079,82.66,407.857,0.6036579906732038,11400.714,16.873884978018925,173497,256.7881644984121,6.3,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0
2020-12-08,Germany,DEU,Europe,Western Europe,83783945,8,237.016,46.6,21.453,15.957,81.33,403.571,0.48168058928234997,19227.286,22.948652035900196,204307,243.8498211083281,9.9,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0
2020-12-08,Italy,ITA,Europe,Southern Europe,60461828,3.18,205.859,47.9,23.021,16.24,83.51,697,1.1527934616862725,19499,32.25010001351597,179845,297.45213790095795,10.8,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0
2020-12-08,Spain,ESP,Europe,Southern Europe,46754783,2.97,93.105,45.5,19.436,13.799,83.56,162.143,0.3467944659266197,6554.857,14.019650139323714,114057,243.94723423269872,5.7,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0
2020-12-08,United Kingdom,GBR,Europe,Northern Europe,67886004,2.54,272.898,40.8,18.517,12.527,81.32,426,0.6275225744617403,15383,22.66004639188956,323827,477.0158514559202,4.8,NA,NA,NA,NA,not EU,Europe,Britain,0,0,0,0
2020-12-08,United States,USA,Americas,Northern America,331002647,2.77,35.608,38.3,15.413,9.732,78.86,2343.143,0.707892526309616,210697.714,63.654389446619746,1826985,551.9548005306435,11.799999999999999,NA,NA,NA,NA,not EU,North America,United States,0,0,0,0
2020-12-09,Canada,CAN,Americas,Northern America,37742157,2.5,4.037,41.4,16.984,10.797,82.43,98,0.2596565956736389,6519.429,17.273599386489757,122152,323.6486987216973,5.3,NA,NA,NA,NA,not EU,North America,Canada,0,0,0,0
2020-12-09,France,FRA,Europe,Western Europe,67564251,5.98,122.578,42,19.718,13.079,82.66,405.857,0.6006978453738798,11464.571,16.968397977208394,177237,262.323636208148,6.3,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0
2020-12-09,Germany,DEU,Europe,Western Europe,83783945,8,237.016,46.6,21.453,15.957,81.33,400.143,0.4775891132841739,19486.429,23.257951150426255,206761,246.7787832143736,9.9,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0
2020-12-09,Italy,ITA,Europe,Southern Europe,60461828,3.18,205.859,47.9,23.021,16.24,83.51,670.571,1.1090815844998931,18362.714,30.370755578213746,167178,276.5017293225074,11,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0
2020-12-09,Spain,ESP,Europe,Southern Europe,46754783,2.97,93.105,45.5,19.436,13.799,83.56,176.429,0.3773496285930789,6618,14.154701562832619,110750,236.87416108850297,6,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0
2020-12-09,United Kingdom,GBR,Europe,Northern Europe,67886004,2.54,272.898,40.8,18.517,12.527,81.32,409.571,0.6033217097297405,15439.714,22.743589385523414,328047,483.2321548930763,4.7,NA,NA,NA,NA,not EU,Europe,Britain,0,0,0,0
2020-12-09,United States,USA,Americas,Northern America,331002647,2.77,35.608,38.3,15.413,9.732,78.86,2394.857,0.7235159663239793,213519.714,64.50695060453701,1830574,553.0390818898799,11.799999999999999,NA,NA,NA,NA,not EU,North America,United States,0,0,0,0
2020-12-10,Canada,CAN,Americas,Northern America,37742157,2.5,4.037,41.4,16.984,10.797,82.43,102,0.2702548240684813,6579.714,17.43332793618552,122530,324.6502313050099,5.4,NA,NA,NA,NA,not EU,North America,Canada,0,0,0,0
2020-12-10,France,FRA,Europe,Western Europe,67564251,5.98,122.578,42,19.718,13.079,82.66,401.857,0.5947775547752318,11619.571,17.197809237906004,180986,267.8724285717309,6.2,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0
2020-12-10,Germany,DEU,Europe,Western Europe,83783945,8,237.016,46.6,21.453,15.957,81.33,423.857,0.5058928652738899,20792.571,24.816891828142015,209215,249.70774532041906,9.9,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0
2020-12-10,Italy,ITA,Europe,Southern Europe,60461828,3.18,205.859,47.9,23.021,16.24,83.51,655.429,1.0840376840739911,17474,28.90087941105585,160255,265.05152970234377,10.9,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0
2020-12-10,Spain,ESP,Europe,Southern Europe,46754783,2.97,93.105,45.5,19.436,13.799,83.56,186.571,0.39904152693853806,6307.714,13.491056091523298,107443,229.80108794430723,5.8999999999999995,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0
2020-12-10,United Kingdom,GBR,Europe,Northern Europe,67886004,2.54,272.898,40.8,18.517,12.527,81.32,424.143,0.6247871063378542,16313.286,24.03041133486072,329338,485.1338723663864,5,NA,NA,NA,NA,not EU,Europe,Britain,0,0,0,0
2020-12-10,United States,USA,Americas,Northern America,331002647,2.77,35.608,38.3,15.413,9.732,78.86,2402.286,0.7257603592517495,214663.571,64.8525239739246,1834991,554.3735123060814,11.600000000000001,NA,NA,NA,NA,not EU,North America,United States,0,0,0,0
2020-12-11,Canada,CAN,Americas,Northern America,37742157,2.5,4.037,41.4,16.984,10.797,82.43,105.571,0.27971639246797686,6622,17.545367107661598,123652,327.6230343697632,5.4,NA,NA,NA,NA,not EU,North America,Canada,0,0,0,0
2020-12-11,France,FRA,Europe,Western Europe,67564251,5.98,122.578,42,19.718,13.079,82.66,401.571,0.5943542539974284,11902.143,17.616036326666304,185793,274.98713779865625,6.2,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0
2020-12-11,Germany,DEU,Europe,Western Europe,83783945,8,237.016,46.6,21.453,15.957,81.33,427.143,0.5098148577272172,22399.286,26.73458023491255,211669,252.6367074264646,9.9,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0
2020-12-11,Italy,ITA,Europe,Southern Europe,60461828,3.18,205.859,47.9,23.021,16.24,83.51,647.857,1.0715140799249405,16704.857,27.628766037308694,157066,259.7771274795066,10.6,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0
2020-12-11,Spain,ESP,Europe,Southern Europe,46754783,2.97,93.105,45.5,19.436,13.799,83.56,196,0.41920844761486753,6561.143,14.033094753107932,111861,239.25038856452397,5.8999999999999995,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0
2020-12-11,United Kingdom,GBR,Europe,Northern Europe,67886004,2.54,272.898,40.8,18.517,12.527,81.32,412.714,0.607951530038504,17085,25.167190574363456,330863,487.38028533834455,5.2,NA,NA,NA,NA,not EU,Europe,Britain,0,0,0,0
2020-12-11,United States,USA,Americas,Northern America,331002647,2.77,35.608,38.3,15.413,9.732,78.86,2503.571,0.7563598124337658,215727.143,65.1738422502706,1825855,551.6134135326114,11.799999999999999,NA,NA,NA,NA,not EU,North America,United States,0,0,0,0
2020-12-12,Canada,CAN,Americas,Northern America,37742157,2.5,4.037,41.4,16.984,10.797,82.43,109,0.2888017237594555,6569.143,17.40531946809505,125066,331.36950810734004,5.3,718,1.9023819968742117,NA,NA,not EU,North America,Canada,1.9023819968742115,0,0,718
2020-12-12,France,FRA,Europe,Western Europe,67564251,5.98,122.578,42,19.718,13.079,82.66,398.857,0.5903373368262457,12054.286,17.84121901980383,189789,280.90150810670576,6.1,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0
2020-12-12,Germany,DEU,Europe,Western Europe,83783945,8,237.016,46.6,21.453,15.957,81.33,437.286,0.5219209957229872,21780.143,25.99560452781258,214123,255.56566953251007,9.9,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0
2020-12-12,Italy,ITA,Europe,Southern Europe,60461828,3.18,205.859,47.9,23.021,16.24,83.51,646,1.068442720587277,16540.571,27.357047491187334,157274,260.1211461883025,10.5,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0
2020-12-12,Spain,ESP,Europe,Southern Europe,46754783,2.97,93.105,45.5,19.436,13.799,83.56,196,0.41920844761486753,6561.143,14.033094753107932,116280,248.70182800335098,5.6000000000000005,NA,NA,NA,NA,EU,Europe,European Union (average),0,0,0,0
2020-12-12,United Kingdom,GBR,Europe,Northern Europe,67886004,2.54,272.898,40.8,18.517,12.527,81.32,430.286,0.6338360997062075,17938.571,26.424549896912477,331387,488.15216756608623,5.4,NA,NA,NA,NA,not EU,Europe,Britain,0,0,0,0
